"","Address","CaseNumber","CrimeAgainst","Neighborhood","OccurDate","OccurTime","OffenseCategory","OffenseType","OpenDataLat","OpenDataLon","OpenDataX","OpenDataY","ReportDate","OffenseCount"
"1","0 BLOCK OF NE 148TH AVE","22-800485","Property","Hazelwood","2/8/2022",407,"Arson","Arson",45.522842697,-122.510707951,7686812,683128,"2/8/2022",1
"2","0 BLOCK OF NW 2ND AVE","22-176430","Property","Old Town/Chinatown","7/2/2022",451,"Arson","Arson",45.523490129,-122.672442351,7645380,684437,"7/2/2022",1
"3","0 BLOCK OF SW 2ND AVE","22-250594","Property","Old Town/Chinatown","9/17/2022",427,"Arson","Arson",45.522826481,-122.672280349,7645415,684194,"9/17/2022",1
"4","100 BLOCK OF NE 117TH AVE","22-802949","Property","Hazelwood","10/20/2022",2022,"Arson","Arson",45.52361998,-122.542857051,7678582,683618,"10/20/2022",1
"5","100 BLOCK OF NE KILLINGSWORTH ST","22-256780","Property","King","9/23/2022",1635,"Arson","Arson",45.562772556,-122.664502088,7647798,698700,"9/23/2022",1
"6","100 BLOCK OF NE STAFFORD ST","22-800885","Property","Piedmont","2/28/2022",2347,"Arson","Arson",45.576532478,-122.66417547,7648016,703713,"2/28/2022",1
"7","100 BLOCK OF NW 2ND AVE","22-23072","Property","Old Town/Chinatown","1/25/2022",932,"Arson","Arson",45.524205708,-122.672469731,7645380,684698,"1/25/2022",1
"8","100 BLOCK OF NW 20TH AVE","22-803250","Property","Northwest","11/2/2022",428,"Arson","Arson",45.524016719,-122.692243962,7640312,684766,"11/2/2022",1
"9","100 BLOCK OF SE 82ND AVE","22-802631","Property","Montavilla","9/20/2022",755,"Arson","Arson",45.521520452,-122.578996367,7669303,683089,"9/27/2022",1
"10","100 BLOCK OF W BURNSIDE ST","22-802472","Property","Old Town/Chinatown","8/23/2022",2100,"Arson","Arson",45.523169371,-122.67184851,7645529,684316,"8/23/2022",1
