"","Address","CaseNumber","CrimeAgainst","Neighborhood","OccurDate","OccurTime","OffenseCategory","OffenseType","OpenDataLat","OpenDataLon","OpenDataX","OpenDataY","ReportDate","OffenseCount"
"1","0 BLOCK OF N CENTER COURT ST","22-150266","Person","Lloyd","6/5/2022",1930,"Assault Offenses","Simple Assault",45.532573192,-122.66771113,7646681,687715,"6/5/2022",1
"2","0 BLOCK OF N CENTER COURT ST","22-293033","Person","Lloyd","11/1/2022",1748,"Assault Offenses","Simple Assault",45.532573192,-122.66771113,7646681,687715,"11/1/2022",1
"3","0 BLOCK OF N CENTER COURT ST","22-295475","Person","Lloyd","10/27/2022",2200,"Assault Offenses","Simple Assault",45.532573192,-122.66771113,7646681,687715,"11/4/2022",1
"4","0 BLOCK OF N CENTER COURT ST","22-321698","Person","Lloyd","12/3/2022",2100,"Assault Offenses","Simple Assault",45.532573192,-122.66771113,7646681,687715,"12/4/2022",5
"5","0 BLOCK OF N CENTER COURT ST","22-328414","Person","Lloyd","12/11/2022",2159,"Assault Offenses","Simple Assault",45.532573192,-122.66771113,7646681,687715,"12/11/2022",1
"6","0 BLOCK OF N CENTER COURT ST","22-680412","Person","Lloyd","3/25/2022",2330,"Assault Offenses","Simple Assault",45.532573192,-122.66771113,7646681,687715,"3/26/2022",1
"7","0 BLOCK OF N STANTON ST","22-201195","Person","Eliot","7/22/2022",2230,"Assault Offenses","Simple Assault",45.543772339,-122.667006541,7646971,691792,"7/27/2022",1
"8","0 BLOCK OF N WEIDLER ST","22-198334","Person","Lloyd","7/24/2022",1557,"Assault Offenses","Intimidation",45.534318273,-122.666977469,7646886,688346,"7/24/2022",1
"9","0 BLOCK OF N WEIDLER ST","22-242803","Person","Lloyd","9/8/2022",1852,"Assault Offenses","Simple Assault",45.534318273,-122.666977469,7646886,688346,"9/8/2022",1
"10","0 BLOCK OF N WEIDLER ST","22-341644","Person","Lloyd","12/27/2022",509,"Assault Offenses","Aggravated Assault",45.534318273,-122.666977469,7646886,688346,"12/27/2022",1
"11","0 BLOCK OF NE 2ND AVE","22-116251","Person","Kerns","5/1/2022",628,"Assault Offenses","Simple Assault",45.523312485,-122.663680806,7647623,684312,"5/2/2022",1
"12","0 BLOCK OF NE 11TH AVE","22-65808","Person","Kerns","3/11/2022",746,"Assault Offenses","Simple Assault",45.523267167,-122.654557471,7649960,684233,"3/11/2022",1
"13","0 BLOCK OF NE 22ND AVE","22-162444","Person","Kerns","6/18/2022",113,"Assault Offenses","Aggravated Assault",45.523232117,-122.643522044,7652787,684145,"6/18/2022",1
"14","0 BLOCK OF NE 22ND AVE","22-181453","Person","Kerns","7/7/2022",1135,"Assault Offenses","Simple Assault",45.523232117,-122.643522044,7652787,684145,"7/7/2022",1
"15","0 BLOCK OF NE 79TH AVE","22-336745","Person","Montavilla","12/20/2022",2109,"Assault Offenses","Simple Assault",45.523105549,-122.582368068,7668454,683689,"12/20/2022",1
"16","0 BLOCK OF NE 82ND AVE","22-177827","Person","Montavilla","7/3/2022",1922,"Assault Offenses","Simple Assault",45.523172679,-122.57911541,7669288,683692,"7/3/2022",1
"17","0 BLOCK OF NE 122ND AVE","22-222807","Person","Hazelwood","8/18/2022",1956,"Assault Offenses","Aggravated Assault",45.522897265,-122.53782356,7679865,683322,"8/18/2022",2
"18","0 BLOCK OF NE 140TH AVE","22-316395","Person","Hazelwood","11/28/2022",341,"Assault Offenses","Simple Assault",45.522810394,-122.519589844,7684536,683173,"11/28/2022",1
"19","0 BLOCK OF NE 146TH AVE","22-331727","Person","Hazelwood","12/15/2022",1149,"Assault Offenses","Intimidation",45.522783981,-122.51327789,7686153,683123,"12/15/2022",1
"20","0 BLOCK OF NE 151ST AVE","22-176964","Person","Glenfair","6/6/2022",1454,"Assault Offenses","Simple Assault",45.52272525,-122.508010789,7687502,683068,"7/2/2022",1
"21","0 BLOCK OF NE BROADWAY","22-265564","Person","Eliot","10/2/2022",2339,"Assault Offenses","Simple Assault",45.535141851,-122.666224214,7647087,688641,"10/2/2022",1
"22","0 BLOCK OF NE HOLLADAY ST","22-23991","Person","Lloyd","1/26/2022",717,"Assault Offenses","Simple Assault",45.530131198,-122.665244491,7647289,686808,"1/26/2022",1
"23","0 BLOCK OF NE HOLLADAY ST","22-41584","Person","Lloyd","2/13/2022",2201,"Assault Offenses","Simple Assault",45.530131198,-122.665244491,7647289,686808,"2/13/2022",1
"24","0 BLOCK OF NE HOLLADAY ST","22-113280","Person","Lloyd","4/29/2022",950,"Assault Offenses","Simple Assault",45.530131198,-122.665244491,7647289,686808,"4/29/2022",1
"25","0 BLOCK OF NE HOLLADAY ST","22-172560","Person","Lloyd","6/28/2022",1351,"Assault Offenses","Simple Assault",45.530131198,-122.665244491,7647289,686808,"6/28/2022",1
"26","0 BLOCK OF NE HOLLADAY ST","22-180329","Person","Lloyd","7/6/2022",931,"Assault Offenses","Aggravated Assault",45.530131198,-122.665244491,7647289,686808,"7/6/2022",2
"27","0 BLOCK OF NE HOLLADAY ST","22-240641","Person","Lloyd","9/6/2022",1423,"Assault Offenses","Aggravated Assault",45.530131198,-122.665244491,7647289,686808,"9/6/2022",1
"28","0 BLOCK OF NE HOLLADAY ST","22-260830","Person","Lloyd","9/27/2022",2302,"Assault Offenses","Simple Assault",45.530131198,-122.665244491,7647289,686808,"9/27/2022",1
"29","0 BLOCK OF NE IVY ST","22-178990","Person","Eliot","7/5/2022",28,"Assault Offenses","Simple Assault",45.547504234,-122.665376257,7647425,693141,"7/5/2022",1
"30","0 BLOCK OF NE LOMBARD ST","22-79614","Person","Piedmont","3/25/2022",450,"Assault Offenses","Aggravated Assault",45.577257205,-122.665902601,7647581,703989,"3/25/2022",1
"31","0 BLOCK OF NE MARTIN LUTHER KING JR BLVD","22-129086","Person","Kerns","5/16/2022",921,"Assault Offenses","Aggravated Assault",45.523292129,-122.661701142,7648130,684291,"5/16/2022",1
"32","0 BLOCK OF NE RUSSELL ST","22-802878","Person","Eliot","8/11/2021",730,"Assault Offenses","Simple Assault",45.540883065,-122.665416484,7647350,690728,"10/11/2022",1
"33","0 BLOCK OF NE STANTON ST","22-55499","Person","Eliot","2/28/2022",1645,"Assault Offenses","Aggravated Assault",45.543782918,-122.665862913,7647264,691788,"2/28/2022",1
"34","0 BLOCK OF NE WEIDLER ST","22-155305","Person","Lloyd","6/10/2022",2125,"Assault Offenses","Simple Assault",45.534318827,-122.665201218,7647341,688334,"6/10/2022",1
"35","0 BLOCK OF NW 2ND AVE","22-263808","Person","Old Town/Chinatown","10/1/2022",144,"Assault Offenses","Simple Assault",45.523490129,-122.672442351,7645380,684437,"10/1/2022",1
"36","0 BLOCK OF NW 3RD AVE","22-11710","Person","Old Town/Chinatown","1/13/2022",1456,"Assault Offenses","Aggravated Assault",45.523478944,-122.673324037,7645154,684439,"1/13/2022",1
"37","0 BLOCK OF NW 3RD AVE","22-53548","Person","Old Town/Chinatown","2/19/2022",130,"Assault Offenses","Simple Assault",45.523476583,-122.673448847,7645122,684439,"2/26/2022",1
"38","0 BLOCK OF NW 3RD AVE","22-77830","Person","Old Town/Chinatown","3/23/2022",30,"Assault Offenses","Simple Assault",45.523478944,-122.673324037,7645154,684439,"3/23/2022",1
"39","0 BLOCK OF NW 3RD AVE","22-211487","Person","Old Town/Chinatown","8/7/2022",152,"Assault Offenses","Simple Assault",45.523478944,-122.673324037,7645154,684439,"8/7/2022",1
"40","0 BLOCK OF NW 3RD AVE","22-297066","Person","Old Town/Chinatown","11/6/2022",128,"Assault Offenses","Simple Assault",45.523478944,-122.673324037,7645154,684439,"11/6/2022",1
"41","0 BLOCK OF NW 3RD AVE","22-326776","Person","Old Town/Chinatown","12/9/2022",1945,"Assault Offenses","Simple Assault",45.523476583,-122.673448847,7645122,684439,"12/9/2022",1
"42","0 BLOCK OF NW 3RD AVE","22-330952","Person","Old Town/Chinatown","12/7/2022",2000,"Assault Offenses","Aggravated Assault",45.523476583,-122.673448847,7645122,684439,"12/14/2022",1
"43","0 BLOCK OF NW 4TH AVE","22-276724","Person","Old Town/Chinatown","10/15/2022",222,"Assault Offenses","Simple Assault",45.52345687,-122.674345819,7644892,684438,"10/15/2022",1
"44","0 BLOCK OF NW 4TH AVE","22-290506","Person","Old Town/Chinatown","10/30/2022",231,"Assault Offenses","Aggravated Assault",45.52345687,-122.674345819,7644892,684438,"10/30/2022",1
"45","0 BLOCK OF NW 4TH AVE","22-297132","Person","Old Town/Chinatown","11/6/2022",309,"Assault Offenses","Simple Assault",45.52345687,-122.674345819,7644892,684438,"11/6/2022",2
"46","0 BLOCK OF NW 6TH AVE","22-40791","Person","Old Town/Chinatown","2/12/2022",2226,"Assault Offenses","Simple Assault",45.523416109,-122.676498802,7644340,684438,"2/12/2022",1
"47","0 BLOCK OF NW 8TH AVE","22-55989","Person","Pearl","2/28/2022",1845,"Assault Offenses","Simple Assault",45.52338004,-122.678402161,7643852,684438,"3/1/2022",1
"48","0 BLOCK OF NW 8TH AVE","22-82343","Person","Pearl","3/27/2022",2236,"Assault Offenses","Simple Assault",45.52338004,-122.678402161,7643852,684438,"3/27/2022",1
"49","0 BLOCK OF NW 8TH AVE","22-116741","Person","Pearl","5/3/2022",308,"Assault Offenses","Simple Assault",45.52338004,-122.678402161,7643852,684438,"5/3/2022",1
"50","0 BLOCK OF NW 8TH AVE","22-218320","Person","Pearl","8/14/2022",211,"Assault Offenses","Simple Assault",45.52338004,-122.678402161,7643852,684438,"8/14/2022",1
"51","0 BLOCK OF NW 9TH AVE","22-236467","Person","Pearl","9/2/2022",200,"Assault Offenses","Intimidation",45.523352088,-122.680165316,7643400,684440,"9/2/2022",1
"52","0 BLOCK OF NW BROADWAY","22-16331","Person","Old Town/Chinatown","1/18/2022",1421,"Assault Offenses","Aggravated Assault",45.523402225,-122.677376481,7644115,684439,"1/18/2022",1
"53","0 BLOCK OF NW BROADWAY","22-43640","Person","Old Town/Chinatown","2/15/2022",2249,"Assault Offenses","Aggravated Assault",45.523402225,-122.677376481,7644115,684439,"2/15/2022",1
"54","0 BLOCK OF NW BROADWAY","22-85486","Person","Old Town/Chinatown","3/30/2022",2346,"Assault Offenses","Simple Assault",45.523402225,-122.677376481,7644115,684439,"3/31/2022",1
"55","0 BLOCK OF NW BROADWAY","22-115308","Person","Old Town/Chinatown","5/1/2022",1538,"Assault Offenses","Simple Assault",45.523402225,-122.677376481,7644115,684439,"5/1/2022",1
"56","0 BLOCK OF NW BROADWAY","22-255583","Person","Old Town/Chinatown","9/22/2022",1146,"Assault Offenses","Aggravated Assault",45.523402225,-122.677376481,7644115,684439,"9/22/2022",1
"57","0 BLOCK OF NW BROADWAY","22-274567","Person","Old Town/Chinatown","10/12/2022",1833,"Assault Offenses","Simple Assault",45.523402225,-122.677376481,7644115,684439,"10/12/2022",1
"58","0 BLOCK OF NW BROADWAY","22-294565","Person","Old Town/Chinatown","11/3/2022",1120,"Assault Offenses","Simple Assault",45.523402225,-122.677376481,7644115,684439,"11/3/2022",1
"59","0 BLOCK OF NW BROADWAY","22-306164","Person","Old Town/Chinatown","11/16/2022",936,"Assault Offenses","Simple Assault",45.523402225,-122.677376481,7644115,684439,"11/16/2022",1
"60","0 BLOCK OF NW BROADWAY","22-342734","Person","Old Town/Chinatown","12/28/2022",955,"Assault Offenses","Aggravated Assault",45.523402225,-122.677376481,7644115,684439,"12/28/2022",1
"61","0 BLOCK OF NW BROADWAY","22-802367","Person","Old Town/Chinatown","8/19/2022",630,"Assault Offenses","Simple Assault",45.523402225,-122.677376481,7644115,684439,"9/7/2022",1
"62","0 BLOCK OF NW COUCH ST","22-267168","Person","Old Town/Chinatown","10/4/2022",1900,"Assault Offenses","Intimidation",45.523926637,-122.670831423,7645797,684585,"10/4/2022",1
"63","0 BLOCK OF NW TRINITY PL","22-108507","Person","Northwest","4/24/2022",1157,"Assault Offenses","Simple Assault",45.523372791,-122.691336981,7640538,684525,"4/24/2022",2
"64","0 BLOCK OF NW TRINITY PL","22-191642","Person","Northwest","7/17/2022",1936,"Assault Offenses","Intimidation",45.523372791,-122.691336981,7640538,684525,"7/17/2022",1
"65","0 BLOCK OF SE 2ND AVE","22-87779","Person","Buckman West","3/30/2022",2350,"Assault Offenses","Aggravated Assault",45.522599058,-122.663684844,7647615,684052,"4/2/2022",1
"66","0 BLOCK OF SE 20TH AVE","22-59724","Person","Buckman East","3/4/2022",2113,"Assault Offenses","Intimidation",45.522524632,-122.645560052,7652258,683901,"3/4/2022",1
"67","0 BLOCK OF SE 28TH AVE","22-217104","Person","Buckman East","8/12/2022",1815,"Assault Offenses","Simple Assault",45.522502391,-122.637331578,7654366,683837,"8/12/2022",1
"68","0 BLOCK OF SE 80TH AVE","22-188064","Person","Montavilla","7/13/2022",2223,"Assault Offenses","Simple Assault",45.522384975,-122.581404929,7668694,683420,"7/14/2022",1
"69","0 BLOCK OF SE 80TH AVE","22-188943","Person","Montavilla","7/14/2022",2116,"Assault Offenses","Simple Assault",45.522384975,-122.581404929,7668694,683420,"7/14/2022",1
"70","0 BLOCK OF SE 80TH AVE","22-261593","Person","Montavilla","9/28/2022",1920,"Assault Offenses","Aggravated Assault",45.522384975,-122.581404929,7668694,683420,"9/28/2022",1
"71","0 BLOCK OF SE 80TH AVE","22-261593","Person","Montavilla","9/28/2022",1920,"Assault Offenses","Intimidation",45.522384975,-122.581404929,7668694,683420,"9/28/2022",1
"72","0 BLOCK OF SE 80TH AVE","22-299630","Person","Montavilla","11/8/2022",2239,"Assault Offenses","Aggravated Assault",45.522384975,-122.581404929,7668694,683420,"11/8/2022",1
"73","0 BLOCK OF SE 80TH AVE","22-334043","Person","Montavilla","12/17/2022",2159,"Assault Offenses","Intimidation",45.522384975,-122.581404929,7668694,683420,"12/17/2022",1
"74","0 BLOCK OF SE 80TH AVE","22-334043","Person","Montavilla","12/17/2022",2159,"Assault Offenses","Simple Assault",45.522384975,-122.581404929,7668694,683420,"12/17/2022",1
"75","0 BLOCK OF SE 81ST AVE","22-38111","Person","Montavilla","2/10/2022",301,"Assault Offenses","Aggravated Assault",45.522378298,-122.580561643,7668910,683412,"2/10/2022",3
"76","0 BLOCK OF SE 82ND AVE","22-55039","Person","Montavilla","2/28/2022",615,"Assault Offenses","Simple Assault",45.522366035,-122.579117097,7669280,683398,"2/28/2022",1
"77","0 BLOCK OF SE 82ND AVE","22-58619","Person","Montavilla","3/3/2022",1701,"Assault Offenses","Intimidation",45.522368293,-122.578992284,7669312,683398,"3/3/2022",1
"78","0 BLOCK OF SE 82ND AVE","22-206709","Person","Montavilla","8/2/2022",305,"Assault Offenses","Aggravated Assault",45.522366035,-122.579117097,7669280,683398,"8/2/2022",1
"79","0 BLOCK OF SE 82ND AVE","22-325706","Person","Montavilla","12/8/2022",1416,"Assault Offenses","Simple Assault",45.522366035,-122.579117097,7669280,683398,"12/8/2022",1
"80","0 BLOCK OF SE 136TH AVE","22-121782","Person","Hazelwood","5/8/2022",1321,"Assault Offenses","Aggravated Assault",45.52198825,-122.523592264,7683503,682899,"5/8/2022",1
"81","0 BLOCK OF SE 148TH AVE","22-213010","Person","Glenfair","8/8/2022",1630,"Assault Offenses","Simple Assault",45.521925619,-122.510593516,7686833,682793,"8/8/2022",1
"82","0 BLOCK OF SE GRAND AVE","22-1954","Person","Buckman West","1/3/2022",959,"Assault Offenses","Aggravated Assault",45.522573907,-122.660647286,7648393,684022,"1/3/2022",1
"83","0 BLOCK OF SE GRAND AVE","22-236055","Person","Buckman West","9/1/2022",1839,"Assault Offenses","Simple Assault",45.522573907,-122.660647286,7648393,684022,"9/1/2022",1
