"","Address","CaseNumber","CrimeAgainst","Neighborhood","OccurDate","OccurTime","OffenseCategory","OffenseType","OpenDataLat","OpenDataLon","OpenDataX","OpenDataY","ReportDate","OffenseCount"
"1","0 BLOCK OF N CENTER COURT ST","22-7331","Property","Lloyd","1/9/2022",130,"Burglary","Burglary",45.532573192,-122.66771113,7646681,687715,"1/9/2022",1
"2","0 BLOCK OF N CENTER COURT ST","22-301746","Property","Lloyd","11/11/2022",200,"Burglary","Burglary",45.532573192,-122.66771113,7646681,687715,"11/11/2022",1
"3","0 BLOCK OF N DEKUM ST","22-903312","Property","Piedmont","2/3/2022",1800,"Burglary","Burglary",45.571831639,-122.667289292,7647173,702021,"2/4/2022",1
"4","0 BLOCK OF N DEKUM ST","22-903520","Property","Piedmont","2/7/2022",0,"Burglary","Burglary",45.571831639,-122.667289292,7647173,702021,"2/7/2022",1
"5","0 BLOCK OF N FREMONT ST","22-69586","Property","Boise","3/15/2022",343,"Burglary","Burglary",45.548304887,-122.667003893,7647016,693444,"3/15/2022",1
"6","0 BLOCK OF N KILLINGSWORTH ST","22-158806","Property","Humboldt","6/10/2022",700,"Burglary","Burglary",45.56276036,-122.667188849,7647110,698714,"6/14/2022",1
"7","0 BLOCK OF N KILLINGSWORTH ST","22-219953","Property","Humboldt","8/15/2022",2005,"Burglary","Burglary",45.56276036,-122.667188849,7647110,698714,"8/15/2022",1
"8","0 BLOCK OF N RUSSELL ST","22-72529","Property","Eliot","3/18/2022",247,"Burglary","Burglary",45.540980085,-122.667110771,7646917,690775,"3/18/2022",1
"9","0 BLOCK OF NE 2ND AVE","22-903191","Property","Kerns","1/19/2022",940,"Burglary","Burglary",45.523312485,-122.663680806,7647623,684312,"2/2/2022",1
"10","0 BLOCK OF NE 2ND AVE","22-905019","Property","Kerns","2/1/2022",0,"Burglary","Burglary",45.523312485,-122.663680806,7647623,684312,"2/22/2022",1
"11","0 BLOCK OF NE 14TH AVE","22-909366","Property","Kerns","4/3/2022",1300,"Burglary","Burglary",45.523272079,-122.651513224,7650740,684214,"4/4/2022",1
"12","0 BLOCK OF NE 14TH AVE","22-933019","Property","Kerns","9/20/2022",1510,"Burglary","Burglary",45.523272079,-122.651513224,7650740,684214,"11/27/2022",1
"13","0 BLOCK OF NE 28TH AVE","22-221469","Property","Kerns","8/17/2022",1022,"Burglary","Burglary",45.523232065,-122.637191212,7654409,684102,"8/17/2022",1
"14","0 BLOCK OF NE 74TH AVE","22-185688","Property","Montavilla","7/11/2022",1611,"Burglary","Burglary",45.523135687,-122.586756172,7667330,683729,"7/11/2022",1
"15","0 BLOCK OF NE 80TH AVE","22-283716","Property","Montavilla","10/9/2022",1848,"Burglary","Burglary",45.523186616,-122.581527988,7668670,683713,"10/22/2022",1
"16","0 BLOCK OF NE 82ND AVE","22-300875","Property","Montavilla","11/10/2022",1015,"Burglary","Burglary",45.523172679,-122.57911541,7669288,683692,"11/10/2022",1
"17","0 BLOCK OF NE 122ND AVE","22-114130","Property","Hazelwood","4/30/2022",844,"Burglary","Burglary",45.522897265,-122.53782356,7679865,683322,"4/30/2022",1
"18","0 BLOCK OF NE 122ND AVE","22-314287","Property","Hazelwood","11/25/2022",430,"Burglary","Burglary",45.522897265,-122.53782356,7679865,683322,"11/25/2022",1
"19","0 BLOCK OF NE 128TH AVE","22-78770","Property","Hazelwood","3/18/2022",1400,"Burglary","Burglary",45.522910843,-122.531633974,7681451,683287,"3/24/2022",1
"20","0 BLOCK OF NE 147TH AVE","22-259222","Property","Hazelwood","9/26/2022",837,"Burglary","Burglary",45.522857459,-122.512058882,7686466,683142,"9/26/2022",1
"21","0 BLOCK OF NE 148TH AVE","22-136296","Property","Hazelwood","5/20/2022",1630,"Burglary","Burglary",45.522842697,-122.510707951,7686812,683128,"5/23/2022",1
"22","0 BLOCK OF NE GRAND AVE","22-92290","Property","Kerns","4/7/2022",348,"Burglary","Burglary",45.523287728,-122.660768126,7648369,684283,"4/7/2022",1
"23","0 BLOCK OF NE GRAND AVE","22-92297","Property","Kerns","4/7/2022",419,"Burglary","Burglary",45.523287728,-122.660768126,7648369,684283,"4/7/2022",1
"24","0 BLOCK OF NE GRAND AVE","22-291524","Property","Kerns","10/31/2022",702,"Burglary","Burglary",45.523287728,-122.660768126,7648369,684283,"10/31/2022",1
"25","0 BLOCK OF NE GRAND AVE","22-291551","Property","Kerns","10/31/2022",702,"Burglary","Burglary",45.523287728,-122.660768126,7648369,684283,"10/31/2022",1
"26","0 BLOCK OF NE GRAND AVE","22-312064","Property","Kerns","11/22/2022",2230,"Burglary","Burglary",45.523287728,-122.660768126,7648369,684283,"11/22/2022",1
