"","Address","CaseNumber","CrimeAgainst","Neighborhood","OccurDate","OccurTime","OffenseCategory","OffenseType","OpenDataLat","OpenDataLon","OpenDataX","OpenDataY","ReportDate","OffenseCount"
"1","0 BLOCK OF N CENTER COURT ST","22-680307","Property","Lloyd","3/27/2022",1700,"Counterfeiting_Forgery","Counterfeiting/Forgery",45.532573192,-122.66771113,7646681,687715,"3/28/2022",1
"2","0 BLOCK OF N CENTER COURT ST","22-801112","Property","Lloyd","3/27/2022",1855,"Counterfeiting_Forgery","Counterfeiting/Forgery",45.532573192,-122.66771113,7646681,687715,"3/27/2022",1
"3","0 BLOCK OF N CENTER COURT ST","22-801113","Property","Lloyd","3/27/2022",1921,"Counterfeiting_Forgery","Counterfeiting/Forgery",45.532573192,-122.66771113,7646681,687715,"3/27/2022",1
"4","0 BLOCK OF NE FREMONT ST","22-803076","Property","Eliot","10/26/2022",1743,"Counterfeiting_Forgery","Counterfeiting/Forgery",45.548218742,-122.666188394,7647224,693407,"10/31/2022",1
"5","0 BLOCK OF NW 23RD AVE","22-914287","Property","Northwest","4/26/2022",1200,"Counterfeiting_Forgery","Counterfeiting/Forgery",45.523766431,-122.698307691,7638756,684717,"5/19/2022",1
"6","0 BLOCK OF NW TRINITY PL","22-914933","Property","Northwest","5/25/2022",1110,"Counterfeiting_Forgery","Counterfeiting/Forgery",45.523372791,-122.691336981,7640538,684525,"5/25/2022",1
"7","0 BLOCK OF SE 127TH AVE","22-915002","Property","Hazelwood","4/7/2022",1040,"Counterfeiting_Forgery","Counterfeiting/Forgery",45.522083937,-122.532626943,7681189,682992,"5/25/2022",1
"8","0 BLOCK OF SE GRAND AVE","22-914233","Property","Buckman West","5/14/2022",1711,"Counterfeiting_Forgery","Counterfeiting/Forgery",45.522573907,-122.660647286,7648393,684022,"5/16/2022",1
"9","0 BLOCK OF SW 3RD AVE","22-194905","Property","Old Town/Chinatown","7/20/2022",2311,"Counterfeiting_Forgery","Counterfeiting/Forgery",45.522840132,-122.673299584,7645154,684206,"7/20/2022",1
"10","0 BLOCK OF SW COLUMBIA ST","22-38462","Property","Downtown","2/10/2022",1306,"Counterfeiting_Forgery","Counterfeiting/Forgery",45.512974414,-122.675591285,7644470,680626,"2/10/2022",1
"11","0 BLOCK OF SW YAMHILL ST","22-905624","Property","Downtown","2/24/2020",1525,"Counterfeiting_Forgery","Counterfeiting/Forgery",45.516971771,-122.673426226,7645064,682068,"2/25/2022",1
"12","100 BLOCK OF N COOK ST","22-922730","Property","Eliot","8/3/2022",1000,"Counterfeiting_Forgery","Counterfeiting/Forgery",45.546827741,-122.667642538,7646838,692910,"8/11/2022",1
