"","Address","CaseNumber","CrimeAgainst","Neighborhood","OccurDate","OccurTime","OffenseCategory","OffenseType","OpenDataLat","OpenDataLon","OpenDataX","OpenDataY","ReportDate","OffenseCount"
"1","0 BLOCK OF NE 7TH AVE","22-52421","Society","Kerns","2/25/2022",801,"Drug_Narcotic Offenses","Drug/Narcotic Violations",45.523281983,-122.65873828,7648889,684267,"2/25/2022",1
"2","0 BLOCK OF NW 5TH AVE","22-273188","Society","Old Town/Chinatown","10/11/2022",940,"Drug_Narcotic Offenses","Drug/Narcotic Violations",45.523437676,-122.675359906,7644632,684438,"10/13/2022",1
"3","0 BLOCK OF NW BROADWAY","22-306182","Society","Old Town/Chinatown","11/16/2022",1420,"Drug_Narcotic Offenses","Drug/Narcotic Violations",45.523402225,-122.677376481,7644115,684439,"11/16/2022",1
"4","0 BLOCK OF SW 3RD AVE","22-130457","Society","Old Town/Chinatown","5/17/2022",1450,"Drug_Narcotic Offenses","Drug/Narcotic Violations",45.522840132,-122.673299584,7645154,684206,"5/17/2022",1
"5","0 BLOCK OF SW NAITO PKWY","22-329114","Society","Old Town/Chinatown","12/12/2022",1440,"Drug_Narcotic Offenses","Drug/Narcotic Violations",45.521976573,-122.670214341,7645936,683870,"12/12/2022",1
"6","100 BLOCK OF NE 102ND AVE","22-110816","Society","Hazelwood","4/26/2022",2029,"Drug_Narcotic Offenses","Drug/Narcotic Violations",45.523440096,-122.558318177,7674619,683653,"4/26/2022",1
"7","100 BLOCK OF NE 102ND AVE","22-119522","Society","Hazelwood","5/5/2022",4,"Drug_Narcotic Offenses","Drug/Narcotic Violations",45.523440096,-122.558318177,7674619,683653,"5/6/2022",1
"8","100 BLOCK OF NE 102ND AVE","22-260762","Society","Hazelwood","9/27/2022",2200,"Drug_Narcotic Offenses","Drug/Narcotic Violations",45.523440096,-122.558318177,7674619,683653,"9/27/2022",1
"9","100 BLOCK OF NE 117TH AVE","22-92323","Society","Hazelwood","4/7/2022",645,"Drug_Narcotic Offenses","Drug/Narcotic Violations",45.52361998,-122.542857051,7678582,683618,"4/7/2022",1
"10","100 BLOCK OF NW 2ND AVE","22-85870","Society","Old Town/Chinatown","3/31/2022",1100,"Drug_Narcotic Offenses","Drug/Narcotic Violations",45.524205708,-122.672469731,7645380,684698,"3/31/2022",1
"11","100 BLOCK OF NW 2ND AVE","22-147299","Society","Old Town/Chinatown","6/2/2022",1540,"Drug_Narcotic Offenses","Drug/Narcotic Violations",45.524205708,-122.672469731,7645380,684698,"6/6/2022",1
