"","Address","CaseNumber","CrimeAgainst","Neighborhood","OccurDate","OccurTime","OffenseCategory","OffenseType","OpenDataLat","OpenDataLon","OpenDataX","OpenDataY","ReportDate","OffenseCount"
"1","300 BLOCK OF NE WEIDLER ST","22-71799","Property","Lloyd","3/12/2022",1300,"Embezzlement","Embezzlement",45.534310312,-122.662155857,7648121,688310,"3/17/2022",1
"2","300 BLOCK OF SW 4TH AVE","22-306186","Property","Downtown","11/16/2022",1010,"Embezzlement","Embezzlement",45.520844489,-122.675237137,7644638,683492,"11/16/2022",1
"3","400 BLOCK OF NE EMERSON ST","22-167797","Property","King","12/26/2021",800,"Embezzlement","Embezzlement",45.561853489,-122.660998689,7648686,698341,"6/23/2022",1
"4","500 BLOCK OF SW 4TH AVE","22-106571","Property","Downtown","3/9/2022",0,"Embezzlement","Embezzlement",45.519541876,-122.676073191,7644411,683023,"4/22/2022",1
"5","700 BLOCK OF SW BROADWAY","22-36426","Property","Downtown","11/18/2021",950,"Embezzlement","Embezzlement",45.519028385,-122.679858801,7643436,682862,"2/8/2022",1
"6","800 BLOCK OF SE ANKENY ST","22-256067","Property","Buckman West","12/1/2019",1,"Embezzlement","Embezzlement",45.522161999,-122.657161799,7649282,683848,"9/22/2022",1
"7","900 BLOCK OF SW WASHINGTON ST","22-104785","Property","Downtown","10/1/2021",1200,"Embezzlement","Embezzlement",45.521253389,-122.680877044,7643197,683680,"4/20/2022",1
"8","1100 BLOCK OF N HAYDEN MEADOWS DR","22-20212","Property","East Columbia","12/12/2021",0,"Embezzlement","Embezzlement",45.595511596,-122.678629039,7644503,710730,"1/22/2022",1
"9","1100 BLOCK OF N HAYDEN MEADOWS DR","22-254526","Property","East Columbia","9/21/2022",737,"Embezzlement","Embezzlement",45.595511596,-122.678629039,7644503,710730,"9/21/2022",1
"10","1100 BLOCK OF NE GLISAN ST","22-803579","Property","Kerns","9/1/2022",0,"Embezzlement","Embezzlement",45.526510744,-122.654087255,7650112,685412,"12/6/2022",1
"11","1200 BLOCK OF NE 102ND AVE","22-901227","Property","Hazelwood","12/3/2021",2024,"Embezzlement","Embezzlement",45.531676268,-122.558011742,7674774,686653,"1/10/2022",1
"12","1200 BLOCK OF NW 9TH AVE","22-153764","Property","Pearl","8/1/2021",800,"Embezzlement","Embezzlement",45.531903212,-122.680357087,7643435,687558,"6/9/2022",1
"13","1300 BLOCK OF SW 11TH AVE","22-64000","Property","Downtown","3/9/2022",1036,"Embezzlement","Embezzlement",45.515968466,-122.685528976,7641953,681786,"3/9/2022",1
"14","1400 BLOCK OF NW EVERETT ST","22-68951","Property","Pearl","3/14/2022",1213,"Embezzlement","Embezzlement",45.525073342,-122.68574675,7641987,685106,"3/14/2022",1
"15","2000 BLOCK OF N TOMAHAWK ISLAND DR","22-288896","Property","Hayden Island","10/19/2022",900,"Embezzlement","Embezzlement",45.613981073,-122.687044326,7642532,717520,"10/28/2022",1
"16","2200 BLOCK OF SE 90TH AVE","22-240312","Property","Montavilla","2/17/2022",839,"Embezzlement","Embezzlement",45.506453865,-122.57042262,7671359,677541,"9/6/2022",1
"17","2300 BLOCK OF N CLARK AVE","22-219721","Property","Eliot","8/15/2022",1550,"Embezzlement","Embezzlement",45.539696948,-122.676646772,7644462,690373,"8/15/2022",1
"18","3800 BLOCK OF SE HAWTHORNE BLVD","22-4888","Property","Sunnyside","7/1/2021",800,"Embezzlement","Embezzlement",45.5120948,-122.624218301,7657626,679955,"1/6/2022",1
"19","4100 BLOCK OF SE HAWTHORNE BLVD","22-138481","Property","Sunnyside","5/25/2022",1106,"Embezzlement","Embezzlement",45.512085141,-122.619839546,7658748,679922,"5/25/2022",1
