"","Address","CaseNumber","CrimeAgainst","Neighborhood","OccurDate","OccurTime","OffenseCategory","OffenseType","OpenDataLat","OpenDataLon","OpenDataX","OpenDataY","ReportDate","OffenseCount"
"1","100 BLOCK OF NE IVY ST","22-913839","Property","Eliot","5/15/2022",1108,"Extortion_Blackmail","Extortion/Blackmail",45.547448461,-122.663675542,7647860,693109,"5/15/2022",1
"2","200 BLOCK OF SE 86TH AVE","22-61172","Property","Montavilla","3/6/2022",1316,"Extortion_Blackmail","Extortion/Blackmail",45.520751626,-122.57493267,7670337,682782,"3/6/2022",1
"3","400 BLOCK OF NE EMERSON ST","22-173652","Property","King","6/29/2022",1405,"Extortion_Blackmail","Extortion/Blackmail",45.561853489,-122.660998689,7648686,698341,"6/29/2022",1
"4","600 BLOCK OF NE BROADWAY","22-3836","Property","Eliot","1/5/2022",1251,"Extortion_Blackmail","Extortion/Blackmail",45.535108359,-122.659109947,7648909,688580,"1/5/2022",1
"5","900 BLOCK OF SE SHERRETT ST","22-315837","Property","Sellwood-Moreland","11/27/2022",1124,"Extortion_Blackmail","Extortion/Blackmail",45.461517505,-122.656486074,7648865,661740,"11/27/2022",1
"6","1600 BLOCK OF NE 32ND AVE","22-927007","Property","Sullivan's Gulch","9/15/2022",1153,"Extortion_Blackmail","Extortion/Blackmail",45.534810686,-122.633176702,7655549,688295,"9/26/2022",1
"7","1900 BLOCK OF NW RALEIGH ST","22-227493","Property","Northwest","8/23/2022",1924,"Extortion_Blackmail","Extortion/Blackmail",45.534151897,-122.6916672,7640560,688456,"8/23/2022",1
"8","2100 BLOCK OF NE 47TH AVE","22-196492","Property","Rose City Park","7/21/2022",225,"Extortion_Blackmail","Extortion/Blackmail",45.538059229,-122.614910477,7660259,689356,"7/22/2022",1
"9","2100 BLOCK OF NE MARTIN LUTHER KING JR BLVD","22-238528","Property","Eliot","9/4/2022",1200,"Extortion_Blackmail","Extortion/Blackmail",45.538319353,-122.661687805,7648280,689768,"9/4/2022",1
"10","2100 BLOCK OF NW SAVIER ST","22-233245","Property","Northwest","8/29/2022",2256,"Extortion_Blackmail","Extortion/Blackmail",45.534894285,-122.69575209,7639521,688755,"8/29/2022",1
"11","2400 BLOCK OF SE TACOMA ST","22-802145","Property","Sellwood-Moreland","8/9/2022",1627,"Extortion_Blackmail","Extortion/Blackmail",45.464827622,-122.640001495,7653125,662834,"8/9/2022",1
"12","2500 BLOCK OF NW THURMAN ST","22-917558","Property","Northwest","6/20/2022",600,"Extortion_Blackmail","Extortion/Blackmail",45.535354224,-122.703831664,7637456,688979,"6/20/2022",1
"13","2800 BLOCK OF SE 26TH AVE","22-216712","Property","Hosford-Abernethy","8/12/2022",1012,"Extortion_Blackmail","Extortion/Blackmail",45.502306009,-122.639712427,7653561,676492,"8/12/2022",1
"14","4700 BLOCK OF NE THOMPSON ST","22-295664","Property","Rose City Park","11/4/2022",1430,"Extortion_Blackmail","Extortion/Blackmail",45.539077012,-122.614468187,7660382,689724,"11/4/2022",1
"15","5000 BLOCK OF NE 42ND AVE","22-16255","Property","Cully","1/18/2022",1311,"Extortion_Blackmail","Extortion/Blackmail",45.559252335,-122.620336288,7659072,697117,"1/18/2022",1
"16","6300 BLOCK OF SW WILBARD ST","22-79118","Property","Ashcreek","3/24/2022",1100,"Extortion_Blackmail","Extortion/Blackmail",45.453448631,-122.742225187,7626793,659398,"3/24/2022",1
"17","8200 BLOCK OF SE 6TH AVE","22-90677","Property","Sellwood-Moreland","4/5/2022",1319,"Extortion_Blackmail","Extortion/Blackmail",45.463257836,-122.659944238,7647995,662398,"4/5/2022",1
"18","8200 BLOCK OF SE WASHINGTON ST","22-61207","Property","Montavilla","3/6/2022",1354,"Extortion_Blackmail","Extortion/Blackmail",45.518345645,-122.578567914,7669383,681929,"3/6/2022",1
"19","8300 BLOCK OF SE 141ST AVE","22-14643","Property","Pleasant Valley","1/16/2022",1830,"Extortion_Blackmail","Extortion/Blackmail",45.462843454,-122.51824671,7684334,661307,"1/16/2022",1
"20","9100 BLOCK OF SE MILL ST","22-329711","Property","Montavilla","12/12/2022",2320,"Extortion_Blackmail","Extortion/Blackmail",45.510005312,-122.569592175,7671605,678830,"12/13/2022",1
"21","13700 BLOCK OF NE BEECH CT","22-3734","Property","Argay","11/21/2021",1045,"Extortion_Blackmail","Extortion/Blackmail",45.550184447,-122.52104037,7684414,693160,"1/5/2022",1
