"","Address","CaseNumber","CrimeAgainst","Neighborhood","OccurDate","OccurTime","OffenseCategory","OffenseType","OpenDataLat","OpenDataLon","OpenDataX","OpenDataY","ReportDate","OffenseCount"
"1","0 BLOCK OF N CENTER COURT ST","22-336399","Property","Lloyd","12/3/2022",1331,"Fraud Offenses","Identity Theft",45.532573192,-122.66771113,7646681,687715,"12/20/2022",1
"2","0 BLOCK OF N CENTER COURT ST","22-903439","Property","Lloyd","12/17/2021",1555,"Fraud Offenses","Credit Card/ATM Fraud",45.532573192,-122.66771113,7646681,687715,"2/4/2022",1
"3","0 BLOCK OF N CENTER COURT ST","22-930906","Property","Lloyd","11/5/2022",800,"Fraud Offenses","Credit Card/ATM Fraud",45.532573192,-122.66771113,7646681,687715,"11/6/2022",1
"4","0 BLOCK OF N WEBSTER ST","22-901261","Property","Humboldt","1/7/2022",1100,"Fraud Offenses","Credit Card/ATM Fraud",45.559771238,-122.667258245,7647063,697625,"1/10/2022",1
"5","0 BLOCK OF NE 2ND AVE","22-147305","Property","Kerns","5/19/2022",1538,"Fraud Offenses","False Pretenses/Swindle/Confidence Game",45.523312485,-122.663680806,7647623,684312,"6/2/2022",1
"6","0 BLOCK OF NE 11TH AVE","22-916631","Property","Kerns","6/1/2022",1,"Fraud Offenses","Credit Card/ATM Fraud",45.523267167,-122.654557471,7649960,684233,"6/9/2022",1
"7","0 BLOCK OF NE 31ST AVE","22-912026","Property","Kerns","7/24/2020",35,"Fraud Offenses","Identity Theft",45.523237965,-122.633034639,7655474,684076,"4/28/2022",1
"8","0 BLOCK OF NE 55TH AVE","22-928490","Property","North Tabor","10/11/2022",625,"Fraud Offenses","False Pretenses/Swindle/Confidence Game",45.523251569,-122.607466096,7662025,683909,"10/12/2022",1
"9","0 BLOCK OF NE 78TH AVE","22-200526","Property","Montavilla","7/26/2022",1741,"Fraud Offenses","Credit Card/ATM Fraud",45.523110907,-122.583586007,7668142,683699,"7/26/2022",1
"10","0 BLOCK OF NE 82ND AVE","22-18656","Property","Montavilla","1/20/2022",1640,"Fraud Offenses","False Pretenses/Swindle/Confidence Game",45.523172679,-122.57911541,7669288,683692,"1/20/2022",1
"11","0 BLOCK OF NE AINSWORTH ST","22-917421","Property","Piedmont","6/17/2022",1320,"Fraud Offenses","Identity Theft",45.566476008,-122.665545694,7647567,700057,"6/17/2022",1
"12","0 BLOCK OF NE BRIDGETON RD","22-912085","Property","Bridgeton","12/28/2021",430,"Fraud Offenses","False Pretenses/Swindle/Confidence Game",45.602491777,-122.665670567,7647887,713185,"4/28/2022",1
"13","0 BLOCK OF NE BRIDGETON RD","22-914094","Property","Bridgeton","4/25/2022",1600,"Fraud Offenses","False Pretenses/Swindle/Confidence Game",45.602491777,-122.665670567,7647887,713185,"5/17/2022",1
"14","0 BLOCK OF NE FREMONT ST","22-50051","Property","Eliot","2/22/2022",1630,"Fraud Offenses","Credit Card/ATM Fraud",45.548218742,-122.666188394,7647224,693407,"2/22/2022",1
"15","0 BLOCK OF NE FREMONT ST","22-803076","Property","Eliot","10/26/2022",1743,"Fraud Offenses","False Pretenses/Swindle/Confidence Game",45.548218742,-122.666188394,7647224,693407,"10/31/2022",1
"16","0 BLOCK OF NE FREMONT ST","22-803076","Property","Eliot","10/26/2022",1743,"Fraud Offenses","Identity Theft",45.548218742,-122.666188394,7647224,693407,"10/31/2022",1
"17","0 BLOCK OF NE GRAND AVE","22-912184","Property","Kerns","4/21/2022",1005,"Fraud Offenses","False Pretenses/Swindle/Confidence Game",45.523287728,-122.660768126,7648369,684283,"4/30/2022",1
