"","Address","CaseNumber","CrimeAgainst","Neighborhood","OccurDate","OccurTime","OffenseCategory","OffenseType","OpenDataLat","OpenDataLon","OpenDataX","OpenDataY","ReportDate","OffenseCount"
"1","0 BLOCK OF N BEECH ST","22-79669","Property","Boise","3/25/2022",703,"Motor Vehicle Theft","Motor Vehicle Theft",45.549574794,-122.667025049,7647023,693907,"3/25/2022",1
"2","0 BLOCK OF N CENTER COURT ST","22-165598","Property","Lloyd","6/18/2022",1832,"Motor Vehicle Theft","Motor Vehicle Theft",45.532573192,-122.66771113,7646681,687715,"6/21/2022",1
"3","0 BLOCK OF N CENTER COURT ST","22-166802","Property","Lloyd","6/18/2022",1500,"Motor Vehicle Theft","Motor Vehicle Theft",45.532573192,-122.66771113,7646681,687715,"6/22/2022",1
"4","0 BLOCK OF N CENTER COURT ST","22-319038","Property","Lloyd","11/30/2022",1845,"Motor Vehicle Theft","Motor Vehicle Theft",45.532573192,-122.66771113,7646681,687715,"11/30/2022",1
"5","0 BLOCK OF N CENTER COURT ST","22-326180","Property","Lloyd","12/8/2022",1800,"Motor Vehicle Theft","Motor Vehicle Theft",45.532573192,-122.66771113,7646681,687715,"12/9/2022",1
"6","0 BLOCK OF N COOK ST","22-279727","Property","Eliot","10/16/2022",1845,"Motor Vehicle Theft","Motor Vehicle Theft",45.546738659,-122.666983137,7647006,692873,"10/18/2022",1
"7","0 BLOCK OF N EMERSON ST","22-83388","Property","Humboldt","3/28/2022",1800,"Motor Vehicle Theft","Motor Vehicle Theft",45.561597903,-122.667726408,7646961,698294,"3/28/2022",1
"8","0 BLOCK OF N WEIDLER ST","22-372","Property","Lloyd","1/1/2022",500,"Motor Vehicle Theft","Motor Vehicle Theft",45.534318273,-122.666977469,7646886,688346,"1/1/2022",1
"9","0 BLOCK OF N WEIDLER ST","22-160668","Property","Lloyd","6/10/2022",600,"Motor Vehicle Theft","Motor Vehicle Theft",45.534318273,-122.666977469,7646886,688346,"6/16/2022",1
"10","0 BLOCK OF N WEIDLER ST","22-166533","Property","Lloyd","6/22/2022",330,"Motor Vehicle Theft","Motor Vehicle Theft",45.534318273,-122.666977469,7646886,688346,"6/22/2022",1
"11","0 BLOCK OF N WEIDLER ST","22-216418","Property","Lloyd","8/9/2022",130,"Motor Vehicle Theft","Motor Vehicle Theft",45.534318273,-122.666977469,7646886,688346,"8/12/2022",1
"12","0 BLOCK OF N WEIDLER ST","22-339206","Property","Lloyd","12/23/2022",1452,"Motor Vehicle Theft","Motor Vehicle Theft",45.534318273,-122.666977469,7646886,688346,"12/23/2022",1
"13","0 BLOCK OF NE 2ND AVE","22-23363","Property","Kerns","1/24/2022",1830,"Motor Vehicle Theft","Motor Vehicle Theft",45.523312485,-122.663680806,7647623,684312,"1/25/2022",2
"14","0 BLOCK OF NE 2ND AVE","22-167378","Property","Kerns","6/23/2022",104,"Motor Vehicle Theft","Motor Vehicle Theft",45.523312485,-122.663680806,7647623,684312,"6/23/2022",1
"15","0 BLOCK OF NE 2ND AVE","22-167444","Property","Kerns","6/23/2022",222,"Motor Vehicle Theft","Motor Vehicle Theft",45.523312485,-122.663680806,7647623,684312,"6/23/2022",1
"16","0 BLOCK OF NE 2ND AVE","22-247285","Property","Kerns","9/8/2022",1200,"Motor Vehicle Theft","Motor Vehicle Theft",45.523312485,-122.663680806,7647623,684312,"9/13/2022",1
"17","0 BLOCK OF NE 2ND AVE","22-257313","Property","Kerns","9/24/2022",200,"Motor Vehicle Theft","Motor Vehicle Theft",45.523312485,-122.663680806,7647623,684312,"9/24/2022",1
"18","0 BLOCK OF NE 14TH AVE","22-293656","Property","Kerns","11/1/2022",1930,"Motor Vehicle Theft","Motor Vehicle Theft",45.523272079,-122.651513224,7650740,684214,"11/2/2022",1
"19","0 BLOCK OF NE 41ST AVE","22-65074","Property","Laurelhurst","3/8/2022",1200,"Motor Vehicle Theft","Motor Vehicle Theft",45.523683533,-122.620077427,7658798,684151,"3/10/2022",1
"20","0 BLOCK OF NE 43RD AVE","22-289586","Property","Laurelhurst","10/28/2022",1700,"Motor Vehicle Theft","Motor Vehicle Theft",45.523577062,-122.617965779,7659338,684098,"10/29/2022",1
"21","0 BLOCK OF NE 44TH AVE","22-16955","Property","North Tabor","1/19/2022",30,"Motor Vehicle Theft","Motor Vehicle Theft",45.523486174,-122.617240317,7659523,684060,"1/19/2022",1
"22","0 BLOCK OF NE 45TH AVE","22-187278","Property","North Tabor","7/13/2022",540,"Motor Vehicle Theft","Motor Vehicle Theft",45.523520862,-122.616101908,7659815,684065,"7/13/2022",1
"23","0 BLOCK OF NE 45TH AVE","22-284959","Property","North Tabor","10/24/2022",326,"Motor Vehicle Theft","Motor Vehicle Theft",45.523520862,-122.616101908,7659815,684065,"10/24/2022",1
"24","0 BLOCK OF NE 47TH AVE","22-32047","Property","North Tabor","2/3/2022",1651,"Motor Vehicle Theft","Motor Vehicle Theft",45.523389312,-122.61505098,7660083,684010,"2/3/2022",1
"25","0 BLOCK OF NE 57TH AVE","22-241443","Property","North Tabor","9/5/2022",1144,"Motor Vehicle Theft","Motor Vehicle Theft",45.523235273,-122.605361743,7662564,683889,"9/7/2022",1
"26","0 BLOCK OF NE 57TH AVE","22-275387","Property","North Tabor","10/13/2022",0,"Motor Vehicle Theft","Motor Vehicle Theft",45.523235728,-122.605486658,7662532,683890,"10/13/2022",1
"27","0 BLOCK OF NE 62ND AVE","22-90462","Property","North Tabor","4/4/2022",1900,"Motor Vehicle Theft","Motor Vehicle Theft",45.523191486,-122.599657764,7664025,683835,"4/5/2022",1
"28","0 BLOCK OF NE 68TH AVE","22-164909","Property","North Tabor","6/19/2022",1700,"Motor Vehicle Theft","Motor Vehicle Theft",45.523303222,-122.592780819,7665788,683830,"6/20/2022",1
"29","0 BLOCK OF NE 74TH AVE","22-185688","Property","Montavilla","7/11/2022",1611,"Motor Vehicle Theft","Motor Vehicle Theft",45.523135687,-122.586756172,7667330,683729,"7/11/2022",1
"30","0 BLOCK OF NE 76TH AVE","22-267753","Property","Montavilla","10/5/2022",1044,"Motor Vehicle Theft","Motor Vehicle Theft",45.523121735,-122.584804147,7667830,683711,"10/5/2022",1
"31","0 BLOCK OF NE 76TH AVE","22-280818","Property","Montavilla","10/19/2022",402,"Motor Vehicle Theft","Motor Vehicle Theft",45.523121258,-122.584679233,7667862,683710,"10/19/2022",1
"32","0 BLOCK OF NE 78TH AVE","22-322594","Property","Montavilla","12/4/2022",2327,"Motor Vehicle Theft","Motor Vehicle Theft",45.52311317,-122.583461193,7668174,683699,"12/4/2022",1
"33","0 BLOCK OF NE 79TH AVE","22-258661","Property","Montavilla","9/17/2022",700,"Motor Vehicle Theft","Motor Vehicle Theft",45.523103287,-122.582492882,7668422,683689,"9/25/2022",1
"34","0 BLOCK OF NE 102ND AVE","22-315140","Property","Hazelwood","11/23/2022",1800,"Motor Vehicle Theft","Motor Vehicle Theft",45.522959585,-122.558339788,7674609,683478,"11/26/2022",1
"35","0 BLOCK OF NE 113TH PL","22-94306","Property","Hazelwood","4/9/2022",100,"Motor Vehicle Theft","Motor Vehicle Theft",45.522816892,-122.545743661,7677835,683344,"4/9/2022",2
