"","Address","CaseNumber","CrimeAgainst","Neighborhood","OccurDate","OccurTime","OffenseCategory","OffenseType","OpenDataLat","OpenDataLon","OpenDataX","OpenDataY","ReportDate","OffenseCount"
"1","200 BLOCK OF SE 126TH AVE","22-802246","Society","Hazelwood","2/17/2022",1843,"Pornography_Obscene Material","Pornography/Obscene Material",45.520441838,-122.533949743,7680835,682402,"8/9/2022",1
"2","400 BLOCK OF NE EMERSON ST","22-173652","Society","King","6/29/2022",1405,"Pornography_Obscene Material","Pornography/Obscene Material",45.561853489,-122.660998689,7648686,698341,"6/29/2022",1
"3","800 BLOCK OF SW 10TH AVE","22-118087","Society","Downtown","5/4/2022",1317,"Pornography_Obscene Material","Pornography/Obscene Material",45.519023834,-122.682699912,7642708,682880,"5/4/2022",1
"4","900 BLOCK OF NE SOUTH SHORE RD","22-304431","Society","East Columbia","11/14/2022",1220,"Pornography_Obscene Material","Pornography/Obscene Material",45.59697385,-122.655618966,7650405,711105,"11/14/2022",1
"5","1000 BLOCK OF SW GIBBS ST","22-320869","Society","Homestead","11/18/2022",2205,"Pornography_Obscene Material","Pornography/Obscene Material",45.49911695,-122.690701632,7640461,675680,"12/2/2022",1
"6","1200 BLOCK OF SW 1ST AVE","22-802139","Society","Downtown","6/10/2022",1231,"Pornography_Obscene Material","Pornography/Obscene Material",45.51405078,-122.675546668,7644492,681018,"6/16/2022",1
"7","1400 BLOCK OF SE 23RD AVE","22-801483","Society","Buckman East","10/15/2021",347,"Pornography_Obscene Material","Pornography/Obscene Material",45.512480516,-122.642452815,7652957,680219,"4/8/2022",1
"8","1500 BLOCK OF N HAYDEN ISLAND DR","22-287112","Society","Hayden Island","10/26/2022",1509,"Pornography_Obscene Material","Pornography/Obscene Material",45.614316878,-122.682940654,7643585,717614,"10/26/2022",1
"9","1500 BLOCK OF NW 14TH AVE","22-801894","Society","Pearl","3/8/2022",1855,"Pornography_Obscene Material","Pornography/Obscene Material",45.533953685,-122.685507001,7642136,688341,"6/22/2022",1
"10","1600 BLOCK OF SW CLAY ST","22-111668","Society","Goose Hollow","4/27/2022",1601,"Pornography_Obscene Material","Pornography/Obscene Material",45.516393876,-122.691571107,7640409,681983,"4/27/2022",1
"11","1700 BLOCK OF S HARBOR WAY","22-70655","Society","Downtown","3/15/2022",1215,"Pornography_Obscene Material","Pornography/Obscene Material",45.510113031,-122.675142173,7644557,679580,"3/16/2022",1
"12","1800 BLOCK OF SW 4TH AVE","22-311534","Society","Downtown","11/22/2022",1047,"Pornography_Obscene Material","Pornography/Obscene Material",45.510704148,-122.680721673,7643133,679834,"11/22/2022",1
"13","2100 BLOCK OF NE 61ST AVE","22-114531","Society","Rose City Park","4/30/2022",1845,"Pornography_Obscene Material","Pornography/Obscene Material",45.537915134,-122.600475671,7663955,689207,"4/30/2022",1
"14","2700 BLOCK OF NW QUIMBY ST","22-800097","Society","Northwest","11/13/2021",144,"Pornography_Obscene Material","Pornography/Obscene Material",45.533232888,-122.707715643,7636440,688233,"1/14/2022",1
"15","2700 BLOCK OF NW THURMAN ST","22-39378","Society","Northwest","2/11/2022",1123,"Pornography_Obscene Material","Pornography/Obscene Material",45.535371069,-122.707814419,7636436,689013,"2/11/2022",1
"16","2800 BLOCK OF NE 64TH AVE","22-800364","Society","Rose City Park","11/29/2021",2338,"Pornography_Obscene Material","Pornography/Obscene Material",45.543317626,-122.597450546,7664781,691156,"1/14/2022",1
"17","3400 BLOCK OF SE 26TH AVE","22-70807","Society","Hosford-Abernethy","3/16/2022",1223,"Pornography_Obscene Material","Pornography/Obscene Material",45.498237282,-122.639559163,7653561,675008,"3/16/2022",1
"18","4000 BLOCK OF NE FREMONT ST","22-113276","Society","Beaumont-Wilshire","4/29/2022",946,"Pornography_Obscene Material","Pornography/Obscene Material",45.548343217,-122.621260247,7658731,693147,"4/29/2022",1
"19","5100 BLOCK OF SE 73RD AVE","22-112583","Society","Mt Scott-Arleta","6/1/2020",0,"Pornography_Obscene Material","Pornography/Obscene Material",45.485646558,-122.587992567,7666660,670073,"4/28/2022",1
"20","5200 BLOCK OF SE 65TH AVE","22-18361","Society","Mt Scott-Arleta","1/20/2022",1433,"Pornography_Obscene Material","Pornography/Obscene Material",45.484859811,-122.59668886,7664423,669844,"1/20/2022",1
"21","5400 BLOCK OF SE 108TH AVE","22-306263","Society","Lents","11/16/2022",1150,"Pornography_Obscene Material","Pornography/Obscene Material",45.483063367,-122.552463835,7675745,668898,"11/16/2022",1
"22","5700 BLOCK OF SE MILWAUKIE AVE","22-801201","Society","Sellwood-Moreland","12/27/2021",1440,"Pornography_Obscene Material","Pornography/Obscene Material",45.481259579,-122.649544077,7650837,668888,"3/28/2022",1
"23","5800 BLOCK OF SW MULTNOMAH BLVD","22-269827","Society","Ashcreek","9/9/2022",1200,"Pornography_Obscene Material","Pornography/Obscene Material",45.467479142,-122.738489386,7627893,664485,"10/7/2022",1
"24","5900 BLOCK OF N FESSENDEN ST","22-801195","Society","Portsmouth","11/15/2021",1214,"Pornography_Obscene Material","Pornography/Obscene Material",45.591283498,-122.726361384,7632247,709522,"3/29/2022",1
"25","7400 BLOCK OF SE 82ND AVE","22-802354","Society","Brentwood-Darlington","4/24/2022",1707,"Pornography_Obscene Material","Pornography/Obscene Material",45.469790381,-122.579116084,7668787,664235,"9/6/2022",1
"26","7700 BLOCK OF SE 92ND AVE","22-180363","Society","Lents","7/6/2022",1200,"Pornography_Obscene Material","Pornography/Obscene Material",45.467111878,-122.568525451,7671478,663189,"7/6/2022",1
"27","9500 BLOCK OF SW 3RD AVE","22-803662","Society","Collins View","5/25/2022",1401,"Pornography_Obscene Material","Pornography/Obscene Material",45.455953164,-122.681896055,7642293,659887,"5/25/2022",1
"28","10200 BLOCK OF N VANCOUVER WAY","22-195854","Society","East Columbia","7/6/2022",1200,"Pornography_Obscene Material","Pornography/Obscene Material",45.596593593,-122.669427735,7646868,711061,"7/21/2022",1
"29","10300 BLOCK OF SE HAROLD ST","22-802871","Society","Lents","3/4/2022",2007,"Pornography_Obscene Material","Pornography/Obscene Material",45.482559586,-122.55639264,7674733,668740,"3/14/2022",1
"30","11000 BLOCK OF NE SANDY BLVD","22-335478","Society","Parkrose","12/19/2022",1306,"Pornography_Obscene Material","Pornography/Obscene Material",45.558390087,-122.549107745,7677302,696332,"12/19/2022",1
"31","13000 BLOCK OF SE POWELL BLVD","22-800341","Society","Powellhurst-Gilbert","11/1/2021",58,"Pornography_Obscene Material","Pornography/Obscene Material",45.497443745,-122.529232886,7681833,673989,"1/18/2022",1
"32","14000 BLOCK OF SE STARK ST","22-803667","Society","Hazelwood","10/28/2022",1714,"Pornography_Obscene Material","Pornography/Obscene Material",45.519066096,-122.518929813,7684671,681804,"12/1/2022",1
"33","17200 BLOCK OF NE SACRAMENTO ST","22-800357","Society","","7/15/2021",1034,"Pornography_Obscene Material","Pornography/Obscene Material",45.54109704,-122.485673072,7693390,689623,"1/18/2022",1
