"","Address","CaseNumber","CrimeAgainst","Neighborhood","OccurDate","OccurTime","OffenseCategory","OffenseType","OpenDataLat","OpenDataLon","OpenDataX","OpenDataY","ReportDate","OffenseCount"
"1","0 BLOCK OF NE 82ND AVE","22-4089","Property","Montavilla","1/5/2022",1725,"Robbery","Robbery",45.523172679,-122.57911541,7669288,683692,"1/5/2022",1
"2","0 BLOCK OF NE 82ND AVE","22-229442","Property","Montavilla","8/25/2022",1933,"Robbery","Robbery",45.523172679,-122.57911541,7669288,683692,"8/25/2022",1
"3","0 BLOCK OF NE 148TH AVE","22-259878","Property","Hazelwood","9/26/2022",2301,"Robbery","Robbery",45.522842697,-122.510707951,7686812,683128,"9/26/2022",1
"4","0 BLOCK OF NE BROADWAY","22-230447","Property","Eliot","8/26/2022",2131,"Robbery","Robbery",45.535141851,-122.666224214,7647087,688641,"8/26/2022",1
"5","0 BLOCK OF NE BROADWAY","22-305874","Property","Eliot","11/15/2022",2225,"Robbery","Robbery",45.535141851,-122.666224214,7647087,688641,"11/15/2022",1
"6","0 BLOCK OF NE FREMONT ST","22-329877","Property","Eliot","12/13/2022",1238,"Robbery","Robbery",45.548218742,-122.666188394,7647224,693407,"12/13/2022",1
"7","0 BLOCK OF NW COUCH ST","22-182313","Property","Old Town/Chinatown","7/8/2022",810,"Robbery","Robbery",45.523838903,-122.670828068,7645797,684553,"7/8/2022",1
"8","0 BLOCK OF SE 20TH AVE","22-16825","Property","Buckman East","1/19/2022",313,"Robbery","Robbery",45.522524632,-122.645560052,7652258,683901,"1/19/2022",1
"9","0 BLOCK OF SE 20TH AVE","22-27889","Property","Buckman East","1/30/2022",502,"Robbery","Robbery",45.522524632,-122.645560052,7652258,683901,"1/30/2022",1
"10","0 BLOCK OF SE 20TH AVE","22-29531","Property","Buckman East","2/1/2022",434,"Robbery","Robbery",45.522524632,-122.645560052,7652258,683901,"2/1/2022",1
"11","0 BLOCK OF SE 20TH AVE","22-106069","Property","Buckman East","4/21/2022",2227,"Robbery","Robbery",45.522524632,-122.645560052,7652258,683901,"4/21/2022",1
"12","0 BLOCK OF SE 20TH AVE","22-196797","Property","Buckman East","7/22/2022",2148,"Robbery","Robbery",45.522524632,-122.645560052,7652258,683901,"7/22/2022",1
"13","0 BLOCK OF SE 82ND AVE","22-344014","Property","Montavilla","12/29/2022",1814,"Robbery","Robbery",45.522366035,-122.579117097,7669280,683398,"12/29/2022",1
"14","0 BLOCK OF SE 87TH AVE","22-193423","Property","Montavilla","7/19/2022",1359,"Robbery","Robbery",45.522146026,-122.573832258,7670632,683283,"7/19/2022",1
"15","0 BLOCK OF SE GRAND AVE","22-26029","Property","Buckman West","1/28/2022",548,"Robbery","Robbery",45.522573907,-122.660647286,7648393,684022,"1/28/2022",1
"16","0 BLOCK OF SE GRAND AVE","22-48320","Property","Buckman West","2/20/2022",2030,"Robbery","Robbery",45.522573907,-122.660647286,7648393,684022,"2/20/2022",1
"17","0 BLOCK OF SE GRAND AVE","22-331511","Property","Buckman West","12/15/2022",528,"Robbery","Robbery",45.522573907,-122.660647286,7648393,684022,"12/15/2022",1
"18","0 BLOCK OF SW 1ST AVE","22-25435","Property","Old Town/Chinatown","1/22/2022",2000,"Robbery","Robbery",45.522103904,-122.671171555,7645692,683923,"1/27/2022",1
"19","0 BLOCK OF SW 2ND AVE","22-427","Property","Old Town/Chinatown","1/1/2022",100,"Robbery","Robbery",45.52282138,-122.672405053,7645383,684193,"1/1/2022",1
"20","0 BLOCK OF SW ARTHUR ST","22-162527","Property","South Portland","6/18/2022",325,"Robbery","Robbery",45.503660314,-122.678305231,7643683,677250,"6/18/2022",1
"21","0 BLOCK OF SW NAITO PKWY","22-329114","Property","Old Town/Chinatown","12/12/2022",1440,"Robbery","Robbery",45.521976573,-122.670214341,7645936,683870,"12/12/2022",1
"22","100 BLOCK OF N LOMBARD ST","22-202936","Property","Piedmont","7/29/2022",230,"Robbery","Robbery",45.577261279,-122.668016363,7647040,704005,"7/29/2022",1
