"","Address","CaseNumber","CrimeAgainst","Neighborhood","OccurDate","OccurTime","OffenseCategory","OffenseType","OpenDataLat","OpenDataLon","OpenDataX","OpenDataY","ReportDate","OffenseCount"
"1","200 BLOCK OF NE 122ND AVE","22-267729","Property","Hazelwood","10/5/2022",1138,"Stolen Property Offenses","Stolen Property Offenses",45.524362563,-122.537809799,7679882,683856,"10/5/2022",1
"2","200 BLOCK OF SE 162ND AVE","22-180964","Property","","7/6/2022",2247,"Stolen Property Offenses","Stolen Property Offenses",45.520628697,-122.496388408,7690461,682230,"7/6/2022",1
"3","300 BLOCK OF SW 12TH AVE","22-281611","Property","Downtown","10/20/2022",1123,"Stolen Property Offenses","Stolen Property Offenses",45.522616836,-122.683052708,7642653,684192,"10/20/2022",1
"4","500 BLOCK OF NE 94TH AVE","22-51459","Property","Montavilla","2/24/2022",440,"Stolen Property Offenses","Stolen Property Offenses",45.52660396,-122.566848253,7672463,684862,"2/24/2022",1
"5","600 BLOCK OF SE 60TH AVE","22-77554","Property","Mt Tabor","3/22/2022",2200,"Stolen Property Offenses","Stolen Property Offenses",45.518323183,-122.601971583,7663386,682076,"3/23/2022",1
"6","700 BLOCK OF SE 106TH AVE","22-188427","Property","Mill Park","7/14/2022",920,"Stolen Property Offenses","Stolen Property Offenses",45.517399332,-122.553993684,7675671,681423,"7/14/2022",1
"7","1000 BLOCK OF W BURNSIDE ST","22-166050","Property","Downtown","6/21/2022",1724,"Stolen Property Offenses","Stolen Property Offenses",45.522925381,-122.681975597,7642932,684297,"6/21/2022",1
"8","1600 BLOCK OF NE 114TH PL","22-149471","Property","Parkrose Heights","6/4/2022",900,"Stolen Property Offenses","Stolen Property Offenses",45.534909998,-122.54546117,7678019,687750,"6/4/2022",1
"9","1700 BLOCK OF NW KEARNEY ST","22-64894","Property","Northwest","3/7/2022",1600,"Stolen Property Offenses","Stolen Property Offenses",45.529295245,-122.688950186,7641208,686667,"3/10/2022",1
"10","1800 BLOCK OF NW UPSHUR ST","22-269382","Property","Northwest","10/1/2022",1000,"Stolen Property Offenses","Stolen Property Offenses",45.5364072,-122.690227786,7640951,689268,"10/7/2022",1
