"","Address","CaseNumber","CrimeAgainst","Neighborhood","OccurDate","OccurTime","OffenseCategory","OffenseType","OpenDataLat","OpenDataLon","OpenDataX","OpenDataY","ReportDate","OffenseCount"
"1","0 BLOCK OF N CENTER COURT ST","22-278500","Property","Lloyd","10/16/2022",1730,"Vandalism","Vandalism",45.532573192,-122.66771113,7646681,687715,"10/16/2022",1
"2","0 BLOCK OF N CENTER COURT ST","22-288466","Property","Lloyd","10/27/2022",2330,"Vandalism","Vandalism",45.532573192,-122.66771113,7646681,687715,"10/28/2022",1
"3","0 BLOCK OF N CENTER COURT ST","22-928943","Property","Lloyd","10/16/2022",2000,"Vandalism","Vandalism",45.532573192,-122.66771113,7646681,687715,"10/17/2022",1
"4","0 BLOCK OF N CENTER COURT ST","22-930888","Property","Lloyd","11/5/2022",1100,"Vandalism","Vandalism",45.532573192,-122.66771113,7646681,687715,"11/6/2022",1
"5","0 BLOCK OF N CENTER COURT ST","22-933083","Property","Lloyd","11/28/2022",550,"Vandalism","Vandalism",45.532573192,-122.66771113,7646681,687715,"11/29/2022",1
"6","0 BLOCK OF N CENTER COURT ST","22-933133","Property","Lloyd","11/28/2022",1900,"Vandalism","Vandalism",45.532573192,-122.66771113,7646681,687715,"11/29/2022",1
"7","0 BLOCK OF N EMERSON ST","22-324410","Property","Humboldt","12/6/2022",2040,"Vandalism","Vandalism",45.561597903,-122.667726408,7646961,698294,"12/7/2022",1
"8","0 BLOCK OF N HANCOCK ST","22-913871","Property","Eliot","5/15/2022",2050,"Vandalism","Vandalism",45.536561922,-122.667012369,7646899,689164,"5/15/2022",1
"9","0 BLOCK OF N RUSSELL ST","22-921586","Property","Eliot","8/3/2022",1548,"Vandalism","Vandalism",45.540980085,-122.667110771,7646917,690775,"8/3/2022",1
"10","0 BLOCK OF N SHAVER ST","22-929267","Property","Boise","10/20/2022",340,"Vandalism","Vandalism",45.552010791,-122.667043875,7647042,694795,"10/20/2022",1
"11","0 BLOCK OF N TOMAHAWK ISLAND DR","22-61733","Property","Hayden Island","3/7/2022",341,"Vandalism","Vandalism",45.605567489,-122.665662976,7647919,714306,"3/7/2022",1
"12","0 BLOCK OF N TOMAHAWK ISLAND DR","22-253620","Property","Hayden Island","9/19/2022",1630,"Vandalism","Vandalism",45.605567489,-122.665662976,7647919,714306,"9/20/2022",1
"13","0 BLOCK OF N WEIDLER ST","22-912770","Property","Lloyd","5/5/2022",125,"Vandalism","Vandalism",45.534318273,-122.666977469,7646886,688346,"5/5/2022",1
"14","0 BLOCK OF N WEIDLER ST","22-918793","Property","Lloyd","7/5/2022",1205,"Vandalism","Vandalism",45.534318273,-122.666977469,7646886,688346,"7/5/2022",1
"15","0 BLOCK OF NE 2ND AVE","22-305188","Property","Kerns","11/15/2022",804,"Vandalism","Vandalism",45.523312485,-122.663680806,7647623,684312,"11/15/2022",1
"16","0 BLOCK OF NE 2ND AVE","22-902230","Property","Kerns","1/23/2022",2220,"Vandalism","Vandalism",45.523312485,-122.663680806,7647623,684312,"1/24/2022",1
"17","0 BLOCK OF NE 2ND AVE","22-905103","Property","Kerns","2/20/2022",0,"Vandalism","Vandalism",45.523312485,-122.663680806,7647623,684312,"2/21/2022",1
"18","0 BLOCK OF NE 2ND AVE","22-905203","Property","Kerns","2/20/2022",2030,"Vandalism","Vandalism",45.523312485,-122.663680806,7647623,684312,"2/22/2022",1
"19","0 BLOCK OF NE 2ND AVE","22-914728","Property","Kerns","5/22/2022",1730,"Vandalism","Vandalism",45.523312485,-122.663680806,7647623,684312,"5/23/2022",1
"20","0 BLOCK OF NE 2ND AVE","22-916867","Property","Kerns","6/13/2022",1800,"Vandalism","Vandalism",45.523312485,-122.663680806,7647623,684312,"6/14/2022",1
