"","Address","CaseNumber","CrimeAgainst","Neighborhood","OccurDate","OccurTime","OffenseCategory","OffenseType","OpenDataLat","OpenDataLon","OpenDataX","OpenDataY","ReportDate","OffenseCount"
"1","0 BLOCK OF NE 122ND AVE","22-222807","Society","Hazelwood","8/18/2022",1956,"Weapon Law Violations","Weapons Law Violations",45.522897265,-122.53782356,7679865,683322,"8/18/2022",1
"2","0 BLOCK OF NE STANTON ST","22-55499","Society","Eliot","2/28/2022",1645,"Weapon Law Violations","Weapons Law Violations",45.543782918,-122.665862913,7647264,691788,"2/28/2022",1
"3","0 BLOCK OF SE 80TH AVE","22-299630","Society","Montavilla","11/8/2022",2239,"Weapon Law Violations","Weapons Law Violations",45.522384975,-122.581404929,7668694,683420,"11/8/2022",1
"4","0 BLOCK OF SE 127TH AVE","22-67358","Society","Hazelwood","3/12/2022",1840,"Weapon Law Violations","Weapons Law Violations",45.522083937,-122.532626943,7681189,682992,"3/12/2022",1
"5","0 BLOCK OF SE 127TH AVE","22-94783","Society","Hazelwood","4/9/2022",1741,"Weapon Law Violations","Weapons Law Violations",45.522083937,-122.532626943,7681189,682992,"4/9/2022",1
"6","0 BLOCK OF SE MARTIN LUTHER KING JR BLVD","22-238035","Society","Buckman West","9/3/2022",2203,"Weapon Law Violations","Weapons Law Violations",45.522579095,-122.661830118,7648090,684032,"9/3/2022",1
"7","0 BLOCK OF SW 1ST AVE","22-216969","Society","Old Town/Chinatown","8/12/2022",1604,"Weapon Law Violations","Weapons Law Violations",45.522103904,-122.671171555,7645692,683923,"8/12/2022",1
"8","0 BLOCK OF SW 3RD AVE","22-168714","Society","Old Town/Chinatown","6/23/2022",459,"Weapon Law Violations","Weapons Law Violations",45.522840132,-122.673299584,7645154,684206,"6/24/2022",1
"9","0 BLOCK OF SW NAITO PKWY","22-329114","Society","Old Town/Chinatown","12/12/2022",1440,"Weapon Law Violations","Weapons Law Violations",45.521976573,-122.670214341,7645936,683870,"12/12/2022",1
"10","100 BLOCK OF NE 102ND AVE","22-110816","Society","Hazelwood","4/26/2022",2029,"Weapon Law Violations","Weapons Law Violations",45.523440096,-122.558318177,7674619,683653,"4/26/2022",1
"11","100 BLOCK OF NE 102ND AVE","22-119522","Society","Hazelwood","5/5/2022",4,"Weapon Law Violations","Weapons Law Violations",45.523440096,-122.558318177,7674619,683653,"5/6/2022",1
"12","100 BLOCK OF NE 117TH AVE","22-92323","Society","Hazelwood","4/7/2022",645,"Weapon Law Violations","Weapons Law Violations",45.52361998,-122.542857051,7678582,683618,"4/7/2022",1
"13","100 BLOCK OF NE SACRAMENTO ST","22-262672","Society","Eliot","9/29/2022",2051,"Weapon Law Violations","Weapons Law Violations",45.539921584,-122.663732198,7647772,690366,"9/29/2022",1
"14","100 BLOCK OF NW 2ND AVE","22-1329","Society","Old Town/Chinatown","1/2/2022",1545,"Weapon Law Violations","Weapons Law Violations",45.524205708,-122.672469731,7645380,684698,"1/2/2022",1
"15","100 BLOCK OF NW 2ND AVE","22-87718","Society","Old Town/Chinatown","4/2/2022",1225,"Weapon Law Violations","Weapons Law Violations",45.524205708,-122.672469731,7645380,684698,"4/2/2022",1
"16","100 BLOCK OF NW 3RD AVE","22-275394","Society","Old Town/Chinatown","10/13/2022",1731,"Weapon Law Violations","Weapons Law Violations",45.524188892,-122.673359019,7645152,684698,"10/13/2022",1
"17","100 BLOCK OF NW FLANDERS ST","22-113221","Society","Old Town/Chinatown","4/29/2022",842,"Weapon Law Violations","Weapons Law Violations",45.526039028,-122.672005126,7645517,685363,"4/29/2022",1
"18","100 BLOCK OF NW GLISAN ST","22-45191","Society","Old Town/Chinatown","2/17/2022",1241,"Weapon Law Violations","Weapons Law Violations",45.526663763,-122.672048543,7645512,685591,"2/17/2022",1
"19","100 BLOCK OF SW 5TH AVE","22-326962","Society","Downtown","12/10/2022",42,"Weapon Law Violations","Weapons Law Violations",45.522369039,-122.675720981,7644529,684051,"12/10/2022",1
"20","100 BLOCK OF SW ANKENY ST","22-150914","Society","Old Town/Chinatown","6/6/2022",1056,"Weapon Law Violations","Weapons Law Violations",45.522570638,-122.671735836,7645552,684097,"6/6/2022",1
"21","100 BLOCK OF SW BROADWAY","22-96703","Society","Downtown","4/11/2022",2046,"Weapon Law Violations","Weapons Law Violations",45.522742831,-122.677714183,7644022,684201,"4/11/2022",1
"22","100 BLOCK OF W BURNSIDE ST","22-48650","Society","Old Town/Chinatown","2/21/2022",754,"Weapon Law Violations","Weapons Law Violations",45.523169371,-122.67184851,7645529,684316,"2/21/2022",1
"23","200 BLOCK OF N LOMBARD ST","22-105320","Society","Piedmont","4/21/2022",48,"Weapon Law Violations","Weapons Law Violations",45.577263009,-122.6687978,7646840,704011,"4/21/2022",1
"24","200 BLOCK OF NE 122ND AVE","22-267729","Society","Hazelwood","10/5/2022",1138,"Weapon Law Violations","Weapons Law Violations",45.524362563,-122.537809799,7679882,683856,"10/5/2022",1
"25","200 BLOCK OF NW DAVIS ST","22-155646","Society","Old Town/Chinatown","6/11/2022",833,"Weapon Law Violations","Weapons Law Violations",45.52459766,-122.672925794,7645267,684844,"6/11/2022",1
"26","200 BLOCK OF NW DAVIS ST","22-272872","Society","Old Town/Chinatown","10/10/2022",2337,"Weapon Law Violations","Weapons Law Violations",45.52459766,-122.672925794,7645267,684844,"10/11/2022",1
"27","200 BLOCK OF NW DAVIS ST","22-276484","Society","Old Town/Chinatown","10/14/2022",2039,"Weapon Law Violations","Weapons Law Violations",45.52459766,-122.672925794,7645267,684844,"10/14/2022",1
"28","200 BLOCK OF SW 8TH AVE","22-91780","Society","Downtown","4/6/2022",1624,"Weapon Law Violations","Weapons Law Violations",45.522686396,-122.678375548,7643852,684185,"4/6/2022",1
"29","200 BLOCK OF SW 8TH AVE","22-290768","Society","Downtown","10/30/2022",1018,"Weapon Law Violations","Weapons Law Violations",45.522686396,-122.678375548,7643852,684185,"10/30/2022",1
"30","200 BLOCK OF SW ASH ST","22-315582","Society","Old Town/Chinatown","11/27/2022",305,"Weapon Law Violations","Weapons Law Violations",45.522087693,-122.672899992,7645249,683929,"11/27/2022",1
"31","300 BLOCK OF NW 6TH AVE","22-145819","Society","Old Town/Chinatown","6/1/2022",843,"Weapon Law Violations","Weapons Law Violations",45.525559797,-122.676452172,7644373,685219,"6/1/2022",1
"32","300 BLOCK OF NW GLISAN ST","22-236993","Society","Old Town/Chinatown","9/2/2022",1943,"Weapon Law Violations","Weapons Law Violations",45.526623698,-122.674022119,7645006,685590,"9/2/2022",1
"33","300 BLOCK OF S MONTGOMERY ST","22-226071","Society","Downtown","8/22/2022",929,"Weapon Law Violations","Weapons Law Violations",45.509403194,-122.673651663,7644932,679311,"8/22/2022",1
"34","300 BLOCK OF SE 99TH AVE","22-337152","Society","Hazelwood","12/21/2022",1004,"Weapon Law Violations","Weapons Law Violations",45.520088891,-122.562216565,7673589,682457,"12/21/2022",1
"35","300 BLOCK OF SW 4TH AVE","22-113372","Society","Downtown","4/29/2022",1025,"Weapon Law Violations","Weapons Law Violations",45.520875247,-122.675351502,7644609,683504,"4/29/2022",1
"36","300 BLOCK OF SW 4TH AVE","22-258302","Society","Downtown","9/25/2022",713,"Weapon Law Violations","Weapons Law Violations",45.520875247,-122.675351502,7644609,683504,"9/25/2022",1
"37","300 BLOCK OF SW 12TH AVE","22-281611","Society","Downtown","10/20/2022",1123,"Weapon Law Violations","Weapons Law Violations",45.522616836,-122.683052708,7642653,684192,"10/20/2022",1
"38","300 BLOCK OF SW HARRISON ST","22-170372","Society","Downtown","6/26/2022",914,"Weapon Law Violations","Weapons Law Violations",45.510445162,-122.680344914,7643227,679737,"6/26/2022",1
"39","300 BLOCK OF SW PINE ST","22-165435","Society","Downtown","6/21/2022",535,"Weapon Law Violations","Weapons Law Violations",45.521766138,-122.674234236,7644904,683821,"6/21/2022",1
"40","300 BLOCK OF W BURNSIDE ST","22-269788","Society","Downtown","10/7/2022",1853,"Weapon Law Violations","Weapons Law Violations",45.523067886,-122.673878159,7645008,684293,"10/7/2022",1
"41","300 BLOCK OF W BURNSIDE ST","22-302796","Society","Downtown","11/12/2022",1624,"Weapon Law Violations","Weapons Law Violations",45.523067886,-122.673878159,7645008,684293,"11/12/2022",1
"42","400 BLOCK OF N GRAHAM ST","22-312591","Society","Eliot","11/23/2022",1510,"Weapon Law Violations","Weapons Law Violations",45.5427813,-122.670236754,7646134,691453,"11/23/2022",1
"43","400 BLOCK OF NE HASSALO ST","22-149728","Society","Lloyd","6/5/2022",234,"Weapon Law Violations","Weapons Law Violations",45.530839104,-122.661160944,7648342,687038,"6/5/2022",1
"44","400 BLOCK OF NW 9TH AVE","22-41335","Society","Pearl","2/13/2022",1601,"Weapon Law Violations","Weapons Law Violations",45.526203503,-122.680270909,7643401,685480,"2/13/2022",1
"45","400 BLOCK OF ROSS ISLAND BRG","22-190133","Society","","7/16/2022",147,"Weapon Law Violations","Weapons Law Violations",45.501297227,-122.663247941,7647519,676285,"7/16/2022",1
"46","400 BLOCK OF SW YAMHILL ST","22-284487","Society","Downtown","10/23/2022",1539,"Weapon Law Violations","Weapons Law Violations",45.517951705,-122.677460185,7644040,682453,"10/23/2022",1
"47","400 BLOCK OF W BURNSIDE ST","22-327497","Society","Downtown","12/10/2022",1648,"Weapon Law Violations","Weapons Law Violations",45.523045807,-122.674899935,7644746,684292,"12/10/2022",1
"48","500 BLOCK OF NE COLUMBIA BLVD","22-135023","Society","Sunderland","5/22/2022",209,"Weapon Law Violations","Weapons Law Violations",45.580738595,-122.659788112,7649180,705216,"5/22/2022",1
"49","500 BLOCK OF NE HOLLADAY ST","22-801696","Society","Lloyd","5/17/2022",1310,"Weapon Law Violations","Weapons Law Violations",45.530095324,-122.660152827,7648593,686760,"5/17/2022",1
"50","500 BLOCK OF NE IVY ST","22-225788","Society","Eliot","8/22/2022",44,"Weapon Law Violations","Weapons Law Violations",45.547941445,-122.660074562,7648787,693264,"8/22/2022",1
"51","500 BLOCK OF SE GRAND AVE","22-111289","Society","Buckman West","4/27/2022",1002,"Weapon Law Violations","Weapons Law Violations",45.519009832,-122.660796574,7648320,682724,"4/27/2022",1
"52","500 BLOCK OF SE GRAND AVE","22-231912","Society","Buckman West","8/28/2022",1400,"Weapon Law Violations","Weapons Law Violations",45.519009437,-122.660671668,7648352,682723,"8/28/2022",1
"53","500 BLOCK OF SE MORRISON ST","22-235942","Society","Buckman West","9/1/2022",1606,"Weapon Law Violations","Weapons Law Violations",45.517269869,-122.66023862,7648446,682086,"9/1/2022",1
"54","500 BLOCK OF SE MORRISON ST","22-253092","Society","Buckman West","9/19/2022",1815,"Weapon Law Violations","Weapons Law Violations",45.517269869,-122.66023862,7648446,682086,"9/19/2022",1
"55","500 BLOCK OF SW 4TH AVE","22-28711","Society","Downtown","1/31/2022",643,"Weapon Law Violations","Weapons Law Violations",45.519541876,-122.676073191,7644411,683023,"1/31/2022",1
